run_dir,n_frames,n_far,n_near_sam3,n_near_track,n_terminal,reached_terminal,mean_z_at_terminal,mean_tilt_at_terminal,mean_centroid_err_at_terminal,final_centroid_err_px,watchdog_alarms_count
ablation_gdino,103,103,0,0,0,0,,,,,0
ablation_gdino_sam2,103,103,0,0,0,0,,,,,0
ablation_sam3,103,103,0,0,0,0,,,,,0
lastmile_v2_ext_live_20260510_211729,505,2,503,0,0,0,,,,,0
lastmile_v2_ext_live_20260510_212259,18,2,16,0,0,0,,,,,0
lastmile_v2_ext_live_20260510_213427,35,2,33,0,0,0,,,,,0
smoke_test,103,103,0,0,0,0,,,,,0
smoketest_gdino,103,103,0,0,0,0,,,,,0
smoketest_gdino_sam2,103,103,0,0,0,0,,,,,0
smoketest_sam3,103,103,0,0,0,0,,,,,0
trial_01_protein_bar,69,2,27,40,0,0,,,,162.5789076941172,10
trial_02,45,2,43,0,0,0,,,,,0
trial_02_protein_bar,143,2,141,0,0,0,,,,,0
trial_03_protein_bar,204,2,83,0,119,1,,36.041925954334275,0.5005838094978063,,0
trial_04_protein_bar,154,2,84,0,68,1,,55.08134455318154,0.03248025756131798,,0
trial_05_protein_bar,161,2,159,0,0,0,,,,,0
trial_06_protein_bar,43,2,41,0,0,0,,,,,0
trial_sign_check,40,40,0,0,0,0,,,,,0
v2_live_nocup_20260427_233614,517,517,0,0,0,0,,,,,0
v2_live_nocup_20260510_194142,95,2,80,0,13,1,,55.468975712649744,0.5247606064777476,,0
v2_live_nocup_20260510_195718,111,2,40,69,0,0,,,,112.74493446338265,42
v2_live_nocup_20260510_204157,48,2,46,0,0,0,,,,,0
v2_live_nocup_20260510_204507,168,2,37,129,0,0,,,,112.42540503946964,103
v2_live_nocup_20260510_213018,749,2,747,0,0,0,,,,,0
v2_proteinbar_servo,24,24,0,0,0,0,,,,,0
v2_proteinbar_servo11,89,2,74,0,13,1,1146.709716796875,50.66265181907546,0.1649493045261355,,0
v2_proteinbar_servo12,103,2,46,29,26,1,890.9545288085938,34.4380545303122,3.963113119465727,98.69460817901552,0
v2_proteinbar_servo2,171,2,16,0,153,1,437.5351867675781,4.905772673185719,0.1234301465562778,,1
v2_servo10,28,2,26,0,0,0,,,,,0
v2_servo11,161,2,159,0,0,0,,,,,108
v2_servo3,24,2,22,0,0,0,,,,,3
v2_servo4,29,2,27,0,0,0,,,,,0
v2_servo5,92,2,90,0,0,0,,,,,0
v2_servo6,184,2,182,0,0,0,,,,,0
v2_servo7,98,2,96,0,0,0,,,,,0
v2_servo8,42,2,40,0,0,0,,,,,3
v2_servo9,65,2,63,0,0,0,,,,,20
